Candidate,Year,Party,IowaPredicted,IowaActual,WonIowa,NationalIowa,NHPred,NHAct,WonNH,NationalNH,IowaDiff,NHDiff,NatDiff
Barack Obama,2008,D,30.8,37.5,1,24,38.3,36.4,0,29.3,6.7,-1.9,5.3
Hillary Clinton,2008,D,29.2,29.4,0,45.2,30,39,1,37,0.2,9,-8.2
John Edwards,2008,D,26,29.7,0,14,18.3,16.9,0,18,3.7,-1.4,4
Bill Richardson,2008,D,5.2,2.1,0,1,5.7,4.6,0,0,-3.1,-1.1,-1
John Kerry,2004,D,26,37.6,1,9,35,38.4,1,7,11.6,3.4,-2
John Edwards,2004,D,23,31.8,0,6,15,12.1,0,5,8.8,-2.9,-1
Howard Dean,2004,D,20,18,0,25,25,26.3,0,24,-2,1.3,-1
Dennis Kucinich,2004,D,3,1.3,0,1,1,1.4,0,2,-1.7,0.4,1
Wesley Clark,2004,D,2,0,0,19,13,12.4,0,19,-2,-0.6,0
Joeseph Lieberman,2004,D,1,0,0,8,6,8.6,0,12,-1,2.6,4
Al Gore,2000,D,56,63.4,1,60,52,45.6,0,67,7.4,-6.4,7
Bill Bradley,2000,D,28,34.9,0,28,43,49.73,1,22,6.9,6.73,-6
